cmc_id,name,current_name,symbol,name_in_coingecko
7815.0,DefiCliq,DefiCliq,CLIQ,DefiCliq
6881.0,DefiDollar,DefiDollar,DUSD,DefiDollar
7593.0,DefiDollar DAO,DefiDollar DAO,DFD,DefiDollar DAO
7973.0,Deflect,Deflect,DEFLCT,Deflect
6689.0,DegenVC,DegenVC,DGVC,DegenVC
7087.0,Dego Finance,Dego Finance,DEGO,Dego Finance
7839.0,Degov,Degov,DEGOV,Degov
9050.0,Delta Exchange Token,Delta Exchange Token,DETO,Delta Exchange Token
7260.0,DeltaHub Community,DeltaHub Community,DHC,DeltaHub Community
1769.0,Denarius,Denarius,D,Denarius
1886.0,Dent,Dent,DENT,Dent
1876.0,Dentacoin,Dentacoin,DCN,Dentacoin
9164.0,Depth Token,Depth Token,DEP,Depth Token
8424.0,Deri Protocol,Deri Protocol,DERI,Deri Protocol
7228.0,DerivaDAO,DerivaDAO,DDX,DerivaDAO
2665.0,Dero,Dero,DERO,Dero
2528.0,Dether,Dether,DTH,Dether
5990.0,Dev Protocol,Dev Protocol,DEV,Dev Protocol
7739.0,DexKit,DexKit,KIT,DexKit
6722.0,Dextrust,Dextrust,DETS,Dextrust
7143.0,DiFy.Finance,DiFy.Finance,YFIII,Dify.Finance
77.0,Diamond,Diamond,DMD,Diamond
109.0,DigiByte,DigiByte,DGB,DigiByte
7420.0,Digital Reserve Currency,Digital Reserve Currency,DRC,Digital Reserve Currency
4566.0,DigitalBits,DigitalBits,XDB,DigitalBits
405.0,DigitalNote,DigitalNote,XDN,DigitalNote
1229.0,DigixDAO,DigixDAO,DGD,DigixDAO
90.0,Dimecoin,Dimecoin,DIME,Dimecoin
8086.0,Ditto,Ditto,DITTO,Ditto
3441.0,Divi,Divi,DIVI,Divi
5894.0,DoYourTip,DoYourTip,DYT,DoYourTip
2675.0,Dock,Dock,DOCK,Dock
3672.0,DogeCash,DogeCash,DOGEC,DogeCash
74.0,Dogecoin,Dogecoin,DOGE,Dogecoin
9436.0,Dogelon Mars,Dogelon Mars,ELON,Dogelon Mars
7377.0,Dogeswap,Dogeswap,DOGES,Dogeswap
6955.0,Dollars,Dollars,USDX,Dollars
2070.0,DomRaider,DomRaider,DRT,DomRaider
6156.0,Donut,Donut,DONUT,Donut
145.0,DopeCoin,DopeCoin,DOPE,DopeCoin
8800.0,Dora Factory,Dora Factory,DORA,Dora Factory
2110.0,Dovu,Dovu,DOV,Dovu
7380.0,Dracula Token,Dracula Token,DRC,Dracula Token
2243.0,Dragonchain,Dragonchain,DRGN,Dragonchain
6611.0,DuckDaoDime,DuckDaoDime,DDIM,DuckDaoDime
4092.0,Dusk Network,Dusk Network,DUSK,DUSK Network
6742.0,DxSale Network,DxSale Network,SALE,DxSale Network
1587.0,Dynamic,Dynamic,DYN,Dynamic
8106.0,Dynamic Set Dollar,Dynamic Set Dollar,DSD,Dynamic Set Dollar
6432.0,ECOMI,ECOMI,OMI,ECOMI
7521.0,EDC Blockchain,EDC Blockchain,EDC,EDC Blockchain
8789.0,EDDASwap,EDDASwap,EDDA,EDDASwap
7882.0,EFFORCE,EFFORCE,WOZX,Efforce
5382.0,ELYSIA,ELYSIA,EL,ELYSIA
1765.0,EOS,EOS,EOS,EOS
4017.0,EOSDT,EOSDT,EOSDT,EOSDT
2165.0,ERC20,ERC20,ERC20,ERC20
8709.0,ETHA Lend,ETHA Lend,ETHA,ETHA Lend
3071.0,EUNO,EUNO,EUNO,EUNO
2088.0,EXRNchain,EXRNchain,EXRN,EXRNchain
8807.0,EXRT Network,EXRT Network,EXRT,EXRT Network
5487.0,EarnBet,EarnBet,BET,EarnBet
7716.0,Earnbase,Earnbase,ENB,Earnbase
2391.0,EchoLink,EchoLink,EKO,EchoLink
1596.0,Edgeless,Edgeless,EDG,Edgeless
5274.0,Edgeware,Edgeware,EDG,Edgeware
2734.0,EduCoin,EduCoin,EDU,Educoin
2885.0,Egretia,Egretia,EGT,Egretia
201.0,Einsteinium,Einsteinium,EMC2,Einsteinium
2492.0,Elastos,Elastos,ELA,Elastos
1711.0,Electra,Electra,ECA,Electra
2573.0,Electrify.Asia,Electrify.Asia,ELEC,Electrify.Asia
2137.0,Electroneum,Electroneum,ETN,Electroneum
8938.0,Ellipsis,Ellipsis,EPS,Ellipsis
6892.0,Elrond,Elrond,EGLD,Elrond
3993.0,Emanate,Emanate,EMT,Emanate
50.0,Emerald Crypto,Emerald Crypto,EMD,Emerald Crypto
558.0,Emercoin,Emercoin,EMC,EmerCoin
7033.0,Empty Set Dollar,Empty Set Dollar,ESD,Empty Set Dollar
4245.0,Enecuum,Enecuum,ENQ,Enecuum
3218.0,Energi,Energi,NRG,Energi
8331.0,Energy Ledger,Energy Ledger,ELX,Energy Ledger
